Connected to the server
Starting a file (upload.txt) upload...
received ack: 5243028: from the server
received ack: 5595768: from the server
received ack: 9727450: from the server
received ack: 3799502: from the server
received ack: 4120104: from the server
received ack: 8317254: from the server
received ack: 6303916: from the server
received ack: 5736896: from the server
received ack: 197384: from the server
received ack: 1787966: from the server
received ack: 2461888: from the server
received ack: 7696200: from the server
received ack: 9825188: from the server
received ack: 6759978: from the server
received ack: 2764010: from the server
received ack: 1386836: from the server
received ack: 1197960: from the server
received ack: 5216912: from the server
received ack: 4895250: from the server
received ack: 2539200: from the server
received ack: 1609794: from the server
received ack: 4040318: from the server
received ack: 990164: from the server
received ack: 8407200: from the server
received ack: 2908322: from the server
received ack: 2936172: from the server
received ack: 1242386: from the server
received ack: 9981758: from the server
received ack: 8713232: from the server
received ack: 1865910: from the server
received ack: 2617940: from the server
received ack: 814026: from the server
received ack: 3897212: from the server
received ack: 3032060: from the server
received ack: 9889268: from the server
received ack: 153006: from the server
received ack: 6323740: from the server
received ack: 310410: from the server
received ack: 1416202: from the server
received ack: 3856488: from the server
received ack: 2207910: from the server
received ack: 8995016: from the server
received ack: 5307660: from the server
received ack: 6887684: from the server
received ack: 5388024: from the server
received ack: 2640050: from the server
received ack: 7951204: from the server
received ack: 2231544: from the server
received ack: 5710956: from the server
received ack: 9660092: from the server
received ack: 7662818: from the server
received ack: 8667700: from the server
received ack: 8142506: from the server
received ack: 3802094: from the server
received ack: 2107574: from the server
received ack: 2968242: from the server
received ack: 7743092: from the server
received ack: 6127320: from the server
received ack: 9780664: from the server
received ack: 1772732: from the server
received ack: 4150568: from the server
received ack: 9471244: from the server
received ack: 32852: from the server
received ack: 2108508: from the server
received ack: 269466: from the server
received ack: 2915010: from the server
received ack: 3327958: from the server
received ack: 2478832: from the server
received ack: 7783336: from the server
received ack: 2667736: from the server
received ack: 9675868: from the server
received ack: 152428: from the server
received ack: 8893964: from the server
received ack: 3393716: from the server
received ack: 9003950: from the server
received ack: 6871430: from the server
received ack: 1884768: from the server
received ack: 3135028: from the server
received ack: 4784622: from the server
received ack: 3112106: from the server
received ack: 4884044: from the server
received ack: 8513172: from the server
received ack: 3619754: from the server
received ack: 3659460: from the server
received ack: 1846514: from the server
received ack: 7348318: from the server
received ack: 8440340: from the server
received ack: 5816206: from the server
received ack: 7745374: from the server
received ack: 2693924: from the server
received ack: 5018430: from the server
received ack: 2950856: from the server
received ack: 2072422: from the server
received ack: 8393488: from the server
received ack: 5801990: from the server
received ack: 5724244: from the server
received ack: 9639834: from the server
received ack: 1757986: from the server
received ack: 8233058: from the server
received ack: 3601784: from the server
received ack: 1011122: from the server
received ack: 4962320: from the server
received ack: 3075864: from the server
received ack: 1864586: from the server
received ack: 5105652: from the server
received ack: 4860900: from the server
received ack: 2244900: from the server
received ack: 8996218: from the server
received ack: 1519068: from the server
received ack: 6387716: from the server
received ack: 6536296: from the server
received ack: 5421008: from the server
received ack: 305690: from the server
received ack: 6294452: from the server
received ack: 4802064: from the server
received ack: 336866: from the server
received ack: 3089022: from the server
received ack: 2091626: from the server
received ack: 7189932: from the server
received ack: 8218554: from the server
received ack: 5633606: from the server
received ack: 1761446: from the server
received ack: 3913500: from the server
received ack: 465050: from the server
received ack: 6488942: from the server
received ack: 7062626: from the server
received ack: 80940: from the server
received ack: 8513484: from the server
received ack: 8028030: from the server
received ack: 2981566: from the server
received ack: 5066766: from the server
received ack: 3164780: from the server
received ack: 4985524: from the server
received ack: 1887894: from the server
received ack: 3712498: from the server
received ack: 4090346: from the server
received ack: 5942908: from the server
received ack: 5236636: from the server
received ack: 9395824: from the server
received ack: 417398: from the server
received ack: 21492: from the server
received ack: 4365242: from the server
received ack: 8362188: from the server
received ack: 3369280: from the server
received ack: 2165870: from the server
received ack: 8871536: from the server
received ack: 8567382: from the server
received ack: 5816608: from the server
received ack: 4864578: from the server
received ack: 8944090: from the server
received ack: 2538084: from the server
received ack: 2828828: from the server
received ack: 7009840: from the server
received ack: 2401134: from the server
received ack: 8427096: from the server
received ack: 3107728: from the server
received ack: 2186940: from the server
received ack: 8321054: from the server
received ack: 8044310: from the server
received ack: 5894738: from the server
received ack: 2702276: from the server
received ack: 9934420: from the server
received ack: 7293798: from the server
received ack: 3548062: from the server
received ack: 4912188: from the server
received ack: 6353456: from the server
received ack: 4193932: from the server
received ack: 942220: from the server
received ack: 87864: from the server
received ack: 29420: from the server
received ack: 7909944: from the server
received ack: 149550: from the server
received ack: 1087226: from the server
received ack: 9737752: from the server
received ack: 3562802: from the server
received ack: 4548050: from the server
received ack: 4346716: from the server
received ack: 4561024: from the server
received ack: 2388536: from the server
received ack: 3271586: from the server
received ack: 4664780: from the server
